Sun Sep 11 14:21:13 2022    cProfilerFiles/output.prof

         2761684 function calls (2633345 primitive calls) in 22.091 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      410    0.007    0.000    0.141    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\graph_only_ops.py:25(graph_placeholder)
     5978    0.007    0.000    0.011    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\util\options.py:38(__eq__)
     2537    0.007    0.000    0.007    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\context.py:1407(op_callbacks)
       98    0.007    0.000    0.680    0.007 C:/Python_projects/2_Building_optimal_CNN_model/1.0_python_scripts/2.0_great_python_scripts/3.1.5_GC_PRO_ANALYSE_preprocess_+_extract_+_invertColors_+normalize_+_recognise_object_+_reformated_+_inline_+_videoInput_+_imShowBugFix_+_Cprofiler_+_snakeviz_+_optimized_.py:30(stackImages)
     7341    0.007    0.000    0.007    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsNested}
    10610    0.007    0.000    0.023    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\c_api_util.py:186(tf_buffer)
     2537    0.007    0.000    0.039    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\tf_stack.py:169(extract_stack_for_node)
      307    0.007    0.000    0.045    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:167(__init__)
    47680    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
     2733    0.007    0.000    0.010    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:4495(unique_name)
