Sun Sep 11 14:21:13 2022    cProfilerFiles/output.prof

         2761684 function calls (2633345 primitive calls) in 22.091 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3184    0.008    0.000    0.008    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\context.py:955(_mode)
     3172    0.056    0.000    0.078    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationGetAttrValueProto}
     3172    0.016    0.000    0.131    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:2633(get_attr)
     3154    0.002    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:4368(_name_stack)
     3154    0.008    0.000    0.022    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:4373(name_scope)
     3145    0.004    0.000    0.025    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\op_def_library.py:53(_SatisfiesTypeConstraint)
     3136    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
     3096    0.001    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:3312(_variable_creator_stack)
     3096    0.001    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:5403(_distribution_strategy_stack)
     3096    0.003    0.000    0.005    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:5622(get_controller)
     3096    0.014    0.000    0.051    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:5815(get_controller)
     3096    0.016    0.000    0.094    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:469(inner_cm)
     3094    0.001    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:810(_v2_behavior)
     3077    0.005    0.000    0.005    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_UID}
     3077    0.002    0.000    0.007    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:222(uid)
     3042    0.003    0.000    0.003    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\util\structure.py:282(<lambda>)
     2940    0.001    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\util\options.py:65(_set_mutable)
     2939    0.023    0.000    0.023    0.000 {method 'ParseFromString' of 'google.protobuf.pyext._message.CMessage' objects}
     2919    0.003    0.000    0.003    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GetBuffer}
     2863    0.001    0.000    0.001    0.000 C:\Python_3.7.6\lib\enum.py:610(__hash__)
     2807    0.002    0.000    0.002    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsMutableMapping}
     2807    0.009    0.000    0.023    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\nest.py:185(_sequence_like)
     2794    0.002    0.000    0.004    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\nest.py:138(_sorted)
     2768    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     2748    0.004    0.000    0.014    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\util\structure.py:270(get_flat_tensor_specs)
     2733    0.007    0.000    0.010    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:4495(unique_name)
2708/1265    0.434    0.000    0.447    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2664    0.002    0.000    0.002    0.000 {built-in method builtins.max}
     2627    0.002    0.000    0.015    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:1425(as_shape)
     2627    0.001    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\traceable_stack.py:117(__len__)
     2625    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
2616/2611    0.004    0.000    0.016    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\nest.py:611(_packed_nest_with_indices)
     2614    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     2591    0.001    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:2403(_add_control_inputs)
     2556    0.001    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:464(graph)
     2554    0.001    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:3419(_get_control_flow_context)
     2537    0.003    0.000    0.004    0.000 C:\Python_3.7.6\lib\_collections_abc.py:676(items)
     2537    0.001    0.000    0.001    0.000 C:\Python_3.7.6\lib\_collections_abc.py:698(__init__)
     2537    0.002    0.000    0.003    0.000 C:\Python_3.7.6\lib\threading.py:255(_is_owned)
     2537    0.005    0.000    0.008    0.000 C:\Python_3.7.6\lib\threading.py:335(notify)
     2537    0.002    0.000    0.010    0.000 C:\Python_3.7.6\lib\threading.py:358(notify_all)
     2537    0.004    0.000    0.004    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationNumOutputs}
     2537    0.017    0.000    0.017    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_NewOperation}
     2537    0.052    0.000    0.052    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_FinishOperation}
     2537    0.032    0.000    0.032    0.000 {built-in method tensorflow.python.util._tf_stack.extract_stack_for_node}
     2537    0.007    0.000    0.007    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\context.py:1407(op_callbacks)
     2537    0.035    0.000    0.062    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:1883(_NodeDef)
     2537    0.033    0.000    0.189    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:1910(_create_c_op)
     2537    0.045    0.000    0.431    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:1987(__init__)
     2537    0.004    0.000    0.008    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:2153(_control_flow_post_processing)
     2537    0.008    0.000    0.011    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:3325(_add_op)
     2537    0.026    0.000    0.638    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:3695(_create_op_internal)
     2537    0.017    0.000    0.059    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:3798(_create_op_helper)
     2537    0.005    0.000    0.015    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:4738(_apply_device_functions)
     2537    0.002    0.000    0.005    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:4902(_control_dependencies_for_inputs)
     2537    0.002    0.000    0.004    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:4936(_record_op_seen_by_control_dependencies)
     2537    0.002    0.000    0.004    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:5321(_snapshot_device_function_stack_metadata)
     2537    0.001    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:5363(<dictcomp>)
